claveCarrera,nombre,nombreCorto
IGE,IGE,IGE
IGE MIXTA,IGE MIXTA,IGE MIXTA
IIND,IIND,IIND
IIND MIXTA,IIND MIXTA,IIND MIXTA
ILOG,ILOG,ILOG
IMCT,IMCT,IMCT
ITIC,ITIC,ITIC
