claveCarrera,nombre,nombreCorto
IAG,Ingeniería En Agronomía Mixto / 2 / Abierto,AGRONOMIA
IIA,ingeniería en Innovación Agricola Sustentable,AGRICOLA
ISC,Ingeniería En Sistemas Computacionales/ 1/ Escolarizado,SISTEMAS
