claveCarrera,nombre,nombreCorto
ADM,INGENIERIA EN ADMINISTRACIÓN                                                    ,ADMIN
ARQ,ARQUITECTURA                                                                    ,ARQUI
CIV,INGENIERIA CIVIL                                                                ,CIVIL
CON,CONTADOR PUBLICO                                                                ,CONTADOR
IGE,INGENIERIA EN GESTIÓN EMPRESARIAL                                               ,GESTION
IND,INGENIERIA INDUSTRIAL                                                           ,INDUSTRIAL
ISC,INGENIERIA EN SISTEMAS COMPUTACIONALES                                          ,SISTEMAS
MCT,INGENIERIA MECATRONICA                                                          ,MECATRONICA
MEC,INGENIERIA MECANICA                                                             ,MECANICA
