claveCarrera,nombre,nombreCorto
ARQM,ARQUITECTURA ARQUITECTURA MULTIDIMENSIONAL E INNOVACIÓN,ARQUI
IAE,INGENIERÍA AMBIENTAL ENERGÍAS RENOVABLES Y CONTROL DE RESIDUOS,ENERGIAS
IAG,INGENIERÍA AMBIENTAL GESTIÓN AMBIENTAL,GESTION AMB
IEM,INGENIERÍA ELECTRÓNICA MECATRÓNICA,MECATRONICA
IGEM,INGENIERÍA EN GESTIÓN EMPRESARIAL NEGOCIOS Y MANUFACTURA,NEGOCIOS Y MANU
IGGM,INGENIERÍA EN GEOCIENCIAS GEOLOGÍA EN MINAS,GEOLOGICA
IILG,INGENIERÍA INDUSTRIAL SISTEMAS LOGÍSTICOS,SISTEMAS LOG
IIME,INGENIERÍA INDUSTRIAL MANUFACTURA ESBELTA,MANUFACTURA ESBE
IIMT,INGENIERÍA INDUSTRIAL GESTION DEL MANTENIMIENTO,GESTION MANT
IM,INGENIERÍA MECÁNICA CONTROL DE PROCESOS,CONTROL PROCESOS
IMA,INGENIERÍA MECÁNICA AERONÁUTICA,AERONAUTICA
ISCM,INGENIERÍA EN SISTEMAS COMPUTACIONALES PRODUCCIÓN MULTIMEDIA,PRODUCCION MULTI
ISCW,INGENIERÍA EN SISTEMAS COMPUTACIONALES SOFTWARE,SOFTWARE
LAET,LICENCIATURA EN ADMINISTRACIÓN EMPRESAS TURISTICAS,EMPRESAS TURIS
LAMD,LICENCIATURA EN ADMINISTRACIÓN MARKETING DIGITAL,MARKETING DIG
LANI,LICENCIATURA EN ADMINISTRACIÓN NEGOCIOS INTERNACIONALES,NEGOCIOS INTER
LAIN,"LICENCIATURA EN ADMINISTRACIÓN INNOVACIÓN, MODALIDAD EN LINEA",NEGOCIOS INTER LIN
