claveCarrera,nombre,nombreCorto
IEME-2010-210,INGENIERÍA ELECTROMECÁNICA,ELECTROMECANICA
IENR-2010-217,INGENIERÍA EN ENERGÍAS RENOVABLES,ENERGIAS
IFOR-2023-226,INGENIERÍA FORESTAL,FORESTAL
IGEM-2023-201,INGENIERÍA EN GESTIÓN EMPRESARIAL,GESTION
IIAL-2010-219,INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ALIMENTARIAS
IIND-2010-227,INGENIERÍA INDUSTRIAL,INDUSTRIAL
IINF-2010-220,INGENIERÍA INFORMÁTICA,INFORMATICA
