claveCarrera,nombre,nombreCorto
IADM,Ingenieria En Administracion ,ADMIN
IDAP,Ingeniería En Desarrollo De Aplicaciones ,DESARROLLO APP
IMAT,Ingenieria En Materiales ,MATERIALES
