claveCarrera,nombre,nombreCorto
COPU-2010-205,CONTADOR PÚBLICO,CONTADOR
IARO-2013-239,INGENIERÍA AERONÁUTICA,AERONAUTICA
IBQA-2010-207,INGENIERÍA BIOQUÍMICA,BIOQUIMICA
IELC-2010-211,INGENIERÍA ELECTRÓNICA,ELECTRONICA
IGEM-2009-201,INGENIERÍA EN GESTIÓN EMPRESARIAL,GESTION
IIND-2010-227,INGENIERÍA INDUSTRIAL,INDUSTRIAL
IINF-2010-220,INGENIERÍA INFORMÁTICA,INFORMATICA
IMCT-2010-229,INGENIERÍA MECATRÓNICA,MECATRONICA
IQUI-2010-232,INGENIERÍA QUÍMICA,QUIMICA
ISIC-2010-224,INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS
IMEC-2010-228,INGENIERÍA MECÁNICA,MECANICA
