claveCarrera,nombre,nombreCorto
GAST,GASTRONOMÍA,GASTRONOMIA
IGEM,INGENIERÍA EN GESTIÓN EMPRESARIAL,GESTION
IIAL,INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,INDUSTRIAS
IIND,INGENIERÍA INDUSTRIAL - ESCOLARIZADA,INDUSTRIAL ESC
IINDX,INGENIERÍA INDUSTRIAL - MIXTA,INDUSTRIAL MIX
ISIC,INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS
