claveCarrera,nombre,nombreCorto
CP,CONTADOR PUBLICO,CONTADOR
IADMON,INGENIERIA EN ADMINISTRACION,ING ADMIN
IAGRO ,INGENIERIA EN AGRONOMIA ,AGRONOMIA
IDA,INGENIERIA EN DESARROLLO DE APLICACIONES,DESARROLLO APP
IGE,INGENIERIA EN GESTION EMPRESARIAL ,GESTION
IINF,INGENIERIA INFORMATICA,INFORMATICA
LADMON,LICENCIATURA EN ADMINISTRACION,LIC ADMIN
LBIOL,LICENCIATURA EN BIOLOGIA,BIOLOGIA
