claveCarrera,nombre,nombreCorto
IC,Ingeniería Civil,CIVIL
ISC,Ingeniería en Sistemas Computacionales,SISTEMAS
II,Ingeniería Industrial,INDUSTRIAL
IM,Ingeniería Mecatrónica,MECATRÓNICA
LA,Licenciatura en Administración,ADMIN
LB,Licenciatura en Biología,BIOLOGIA
LG,Licenciatura en Gastronomía,GASTRONOMIA
