claveCarrera,nombre,nombreCorto
IAG,Ingeniería En Agronomía / 1 / Escolarizado,AGRONOMIA
IAL,Ingeniería En Industrias Alimentarias / 1 / Escolarizado,ALIMENTARIAS
IIA,Ingeniería En Innovación Agricola Sustentable / 1 / Escolarizado,AGRICOLA
ISI,Ingeniería En Sistemas Computacionales / 1 / Escolarizado,SISTEMAS
