claveCarrera,nombre,nombreCorto
II,Ingeniería Industrial,INDUSTRIAL
IM,Ingeniería Mecatrónica,MECATRÓNICA
ISC,Ingeniería en Sistemas Computacionales,SISTEMAS
LT,Licenciatura en Turismo,TURISMO
IF,Ingeniería Forestal,FORESTAL
