claveCarrera,nombre,nombreCorto
DOC-ING,Doctorado  En Ingenieria / 75 / Escolarizado,DOC-ING
IELE-2010-209,Ingeniería Eléctrica / 21 / Escolarizado,ELECTRICA
IEME-2010-210,Ingeniería Electromecánica / 33 / Escolarizado,ELECTROMECANICA
IELC-2010-211,Ingeniería Electrónica / 22 / Escolarizado,ELECTRÓNICA
IGEM-2009-201,Ingeniería En Gestion Empresarial (Ead) / 62 / A distancia,GESTION
IMAT-2010-222,Ingeniería En Materiales / 26 / Escolarizado,MATERIALES
ISAU-2013-240,Ingeniería En Sistemas Automotrices / 67 / Escolarizado,SISTEMAS
IIND-2010-227,Ingeniería Industrial / 25 / Escolarizado,INDUSTRIAL
IMEC-2010-228,Ingeniería Mecánica / 23 / Escolarizado,MECANICA
IMCT-2010-229,Ingeniería Mecatrónica / 66 / Escolarizado,MECATRONICA
IQUI-2010-232,Ingeniería Química / 19 / Escolarizado,QUIMICA
LADM-2010-234,Licenciatura En Administración / 45 / Escolarizado,ADMIN
MA-CIENCIAS,Maestria En Ciencias En Ingenieria Electronica / 54 / Escolarizado,MA-CIENCIAS
MA-GESTION,Maestría En Gestión Administrativa / 64 / Escolarizado,MA-GESTION
MA-ING,Maestría En Ingeniería  Mecatrónica / 60 / Escolarizado,MA-ING
MA-SISTEMAS,Maestría En Sistemas De Manufactura / 55 / Escolarizado,MA-SISTEMAS
