claveCarrera,nombre,nombreCorto
48,Ingenieria En Gestion Empresarial / 48 / Escolarizado,GESTION ESC
49,Ingenieria En Gestion Empresarial (Mixta) / 49 / Mixto,GESTION MIX
51,Ingenieria En Industrias Alimentarias / 51 / Escolarizado,ALIMENTARIAS ESC
52,Ingenieria En Sistemas Computacionales / 52 / Escolarizado,SISTEMAS ESC
53,Ingenieria Industrial / 53 / Escolarizado,INDUSTRIAL ESC
54,Ingenieria Ambiental / 54 / Escolarizado,AMBIENTAL ESC
55,Ingenieria En Agronomía / 55 / Escolarizado,AGRONOMIA ESC
56,Ingenieria Industrial (Mixta) / 56 / Mixto,INDUSTRIAL MIX
