claveCarrera,nombre,nombreCorto
ARQU-2010-204,Arquitectura / 2010 / Escolarizado,ARQUI
COPU-2010-204,Contador Publico / 2010 / Escolarizado,CONTADOR
IBQA-2010-207,Ingenieria Bioquimica / 2010 / Escolarizado,BIOQUIMICA
IGEM-2009-201,Ingenieria En Gestion Empresarial / 2009 / Escolarizado,GESTION
IIAS-2010-221,Ingeniería En Innovación Agrícola Sustentable / 2010 / Escolarizado,AGRICOLA
ISIC-2010-224,Ingeniería En Sistemas Computacionales / 2010 / Escolarizado,SISTEMAS
IIND-2010-227,Ingenieria Industrial / 2010 / Escolarizado,INDUSTRIAL
LADM-2010-234,Licenciatura En Administracion / 2010 / Escolarizado,ADMIN
