claveCarrera,nombre,nombreCorto
IAL,Ingenieria En Industrias Alimentarias / 2010 / Escolarizado,ALIMENTARIAS
ICI,Ingenieria Civil / 2010 / Escolarizado,CIVIL
IEM,Ingenieria Electromecanica / 2010 / Mixto,ELECTROMECANICA
IGE,Ingenieria En Gestion Empresarial / 2009 / Escolarizado,GESTION
ISC,Ingenieria En Sistemas Computacionales / 2010 / Escolarizado,SISTEMAS
LAD,Licenciatura En Administración / 2010 / Mixto,ADMIN
