claveCarrera,nombre,nombreCorto
49,Ingenieria En Gestion Empresarial (Mixta) / 49 / Mixto,GESTION
54,Ingenieria Ambiental / 54 / Escolarizado,AMBIENTAL
56,Ingenieria Industrial (Mixta) / 56 / Mixto,INDUSTRIAL
57,Ingenieria En Desarrollo De Aplicaciones / 57 / Escolarizado,DESARROLLO APP
58,Ingenieria En Inteligencia Artificial / 58 / Escolarizado,INT ARTIFICIAL
