claveCarrera,nombre,nombreCorto
ADMIN,ADMINISTRACIÓN ,ADMIN
ARQ,ARQUITECTURA,ARQUI
CONT,CONTADOR PÚBLICO,CONTADOR
AMB,ING. AMBIENTAL,AMBIENTAL
BIO,ING. BIOQUÍMICA,BIOQUIMICA
GEST,ING. GESTIÓN EMPRESARIAL,GESTION
IND,ING. INDUSTRIAL,INDUSTRIAL
INF,ING. INFORMÁTICA,INFORMATICA
MEC,ING. MECATRÓNICA,MECATRONICA
SIS,ING. SISTEMAS COMPUTACIONALES ,SISTEMAS
