claveCarrera,nombre,nombreCorto
CP,CONTADOR PÚBLICO,CONTADOR
IADEV,INGENIERÍA EN ANIMACIÓN DIGITAL Y EFECTOS VISUALES,ANIMACION
IER,INGENIERÍA EN ENERGÍAS RENOVABLES,ENERGIAS
IF,INGENIERÍA FERROVIARIA,FERROVIARIA
IIA,INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ALIMENTARIAS
ISC,INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS
LA,LICENCIATURA EN ADMINISTRACIÓN,ADMIN
LG,LICENCIATURA EN GASTRONOMÍA,GASTRONOMIA
LT,LICENCIATURA EN TURISMO,TURISMO
