claveCarrera,nombre,nombreCorto
IC,Ingeniería Civil,CIVIL
IEM,Ingeniería Electromecánica,ELECTROMECÁNICA
IGE ,Ingeniería en Gestión Empresarial,GESTION
IIND,Ingeniería Industrial,INDUSTRIAL
IQ,Ingeniería Química,QUÍMICA
ISC,Ingenieria en Sistemas Computacionales,SISTEMAS
