claveCarrera,nombre,nombreCorto
5041100115,ING. LOGISTICA,LOGISTICA
5042100050,ING.GEST.EMP.,GESTION
5051100003,LIC. BIOLOGÍA,BIOLOGÍA
5061300046,ING. SIST. COMP,SISTEMAS
5071300014,ING.MECATRÓNICA,MECATRÓNICA
5071300028,ING. ELECTROMECANICA,ELECTROMECANICA
5071300048,ING.ELECTRÓNICA,ELECTRÓNICA
5071400006,ING.MATERIALES,MATERIALES
5071400015,ING. QUÍMICA,QUÍMICA
5071500020,ING.SIST.AUTOM.,SISTEMAS
5071500053,ING.AERONÁUTICA,AERONÁUTICA
5071700019,ING. INDUSTRIAL,INDUSTRIAL
