claveCarrera,nombre,nombreCorto
h,Ingeniería Mecánica / 2010 / Escolarizado,MECANICA
R,Ingeniería Informática / 2010 / Escolarizado,INFORMATICA
i,Ingeniería Industrial / 2010 / Escolarizado,INDUSTRIAL
x,Ingeniería En Sistemas Computacionales / 2010 / Escolarizado,SISTEMAS
Y,Ingeniería En Gestión Empresarial / 2009 / Escolarizado,GESTION
f,Ingeniería Electrónica / 2010 / Escolarizado,ELECTRONICA
g,Ingeniería Eléctrica / 2010 / Escolarizado,ELECTRICA
A,Ingeniería Ambiental / 2010 / Escolarizado,AMBIENTAL
z,Contador Público / 2010 / Escolarizado,CONTADOR
Q,Arquitectura / 2019 / Escolarizado,ARQUI
